Timestamp,Age,Gender,Marital status,Part TIme/ Full Time Student,Where are you from?,Which University / Institute are you from?,Which faculty are you from?,Which academic year are you currently in? ,What is your preferred mode of learning ?,Are you missing traditional learning?,Benefits of e-learning you feel compared to in-class learning? [Easy to attend classes without missing],Benefits of e-learning you feel compared to in-class learning? [Ability to record lecture],Benefits of e-learning you feel compared to in-class learning? [Access to more learning materials],Benefits of e-learning you feel compared to in-class learning? [Learning on your own pace],Benefits of e-learning you feel compared to in-class learning? [Comfort environment at home],Benefits of e-learning you feel compared to in-class learning? [More time to focus on other interest],Any other benefits you feel compared to in-class learning?,Strategies you like on Online Teaching  ? [Interactive Discussions only with the pre-uploaded  record Lectures],Strategies you like on Online Teaching  ? [Lectures with in-class quizzes],Strategies you like on Online Teaching  ? [Online team Activities [Breakout Room]],Strategies you like on Online Teaching  ? [Video based teaching with whiteboard],Strategies you like on Online Teaching  ? [Online teaching with touch Pad],Strategies you like on Online Teaching  ? [Lectures with Polls ],Strategies you like on Online Teaching  ? [Offline learning with recorded videos],What are the online based assessment methodologies you prefer ?,Generic skills and learning experience in E-Learning (E-Learning developed my problem-solving skills),Generic skills and learning experience in E-Learning (E-Learning helped me develop my ability to work as team member),Generic skills and learning experience in E-Learning (E-Learning helped me to develop the ability to plan my own work),Generic skills and learning experience in E-Learning (E-Learning improves my confident about tackling unfamiliar problems),"Generic skills and learning experience in E-Learning (As a result of E-Learning, I am more positive about achieving my goals)",Technical challenges you faces on E-Learning? [Poor network coverage],"Technical challenges you faces on E-Learning? [Issues is in handling IT infrastructures [Eg : Zoom, Moodle, Etc)]",Technical challenges you faces on E-Learning? [Lack of access to personal Computer],Technical challenges you faces on E-Learning? [Frequent power failures],Personal challenges you faces on E-Learning? [Lack of social interaction with colleagues],Personal challenges you faces on E-Learning? [Lack of Team work / Group Study],Personal challenges you faces on E-Learning? [Lack of motivation to study],Personal challenges you faces on E-Learning? [Lack of concentration ],Course related challenges you faces on E-Learning? [Missing practical experience ],Course related challenges you faces on E-Learning? [Missing group project activities],Course related challenges you faces on E-Learning? [Additional stress due to online exams],Course related challenges you faces on E-Learning? [missing class room Interative learning],Course related challenges you faces on E-Learning? [Lack of focus on lecture time],Any other challenges you faces compared to in-class learning?,Overall satisfaction through E-Learning,Which of the following do you still wish to have online if universities opt for a hybrid approach?,Please indicate that you agree to participate in this study
10/20/2021 18:34:41,23,Male,Single,No,Gampaha,University of Moratuwa,Engineering,Third Year,Hybrid Learning [Mix of Online and In Class Learning],3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Quizzes, Online Presentations, Online Report Submissions",Diasgree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Diasgree,Strongly Agree,Agree,Disagree,Not Sure,Strongly Agree,,8,"Lectures, Assigments",I agree to participate in this study
10/20/2021 18:48:56,20,Female,Single,No,Colombo,University of Moratuwa,Engineering,Third Year,Hybrid Learning [Mix of Online and In Class Learning],4,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,,Agree,Strongly Agree,Agree,Agree,Not Sure,Strongly Agree,Agree,"Quizzes, Online Report Submissions",Diasgree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Diasgree,Diasgree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Online learning itself is good. But the lecturers take it to extremes and have unreasonable expectations which cause stress,7,"Lectures, Assigments, Practical Sessions",I agree to participate in this study
10/20/2021 19:08:25,22,Male,Single,No,Kegalle,University of Moratuwa,Engineering,Second Year,Offline Learning [E-Learning with Recorded videos],1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Not Sure,Strongly Agree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Quizzes,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,10,None of them,I agree to participate in this study
10/20/2021 19:10:27,24,Male,Single,No,Matale,University of Moratuwa,Engineering,Fourth Year,Hybrid Learning [Mix of Online and In Class Learning],5,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,,Not Sure,Agree,Agree,Agree,Not Sure,Agree,Strongly Agree,Quizzes,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Not Sure,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,4,None of them,I agree to participate in this study
10/20/2021 19:13:12,22,Prefer not to mention,Single,No,Batticaloa,University of Moratuwa,Engineering,Second Year,Hybrid Learning [Mix of Online and In Class Learning],5,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Online Report Submissions,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,,1,None of them,I agree to participate in this study
10/20/2021 19:51:53,24,Female,Single,No,Colombo,University of Moratuwa,Engineering,Fourth Year,Hybrid Learning [Mix of Online and In Class Learning],2,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,"Quizzes, Online Presentations, Online Report Submissions",Diasgree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,,8,"Lectures, Assigments",I agree to participate in this study
10/20/2021 22:18:01,23,Male,Single,No,Jaffna,University of Moratuwa,Engineering,Third Year,Hybrid Learning [Mix of Online and In Class Learning],5,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Quizzes,Diasgree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Not Sure,Strongly Agree,Not Sure,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,,5,"Exams, Assigments, Practical Sessions",I agree to participate in this study
10/20/2021 22:27:55,22,Male,Single,No,Gampaha,University of Moratuwa,Engineering,Second Year,Traditional Learning [In Class Learning],5,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,None,Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Agree,Not Sure,Strongly Disagree,,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,1,None of them,I agree to participate in this study
10/21/2021 0:39:54,23,Male,Single,No,Batticaloa,University of Jaffna,Others,Second Year,Traditional Learning [In Class Learning],5,Not Sure,Agree,Agree,Not Sure,Disagree,Disagree,Nothing,Disagree,Not Sure,Not Sure,Agree,Agree,Not Sure,Strongly Disagree,"Quizzes, Online Presentations, Online Report Submissions",Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,4,"Lectures, Exams, Practical Sessions",I agree to participate in this study
10/21/2021 0:39:57,23,Male,Single,No,Ratnapura,University of Jaffna,Engineering,Third Year,Traditional Learning [In Class Learning],5,Agree,Strongly Agree,Not Sure,Not Sure,Agree,Agree,,Disagree,Not Sure,Agree,Not Sure,Agree,Agree,Disagree,Online Report Submissions,Diasgree,Disagree,Not Sure,Disagree,Disagree,Agree,Disagree,Not Sure,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,,3,Assigments,I agree to participate in this study
10/21/2021 0:43:08,24,Male,Single,No,Kandy,University of Jaffna,Technology,Fourth Year,Traditional Learning [In Class Learning],5,Not Sure,Agree,Disagree,Not Sure,Disagree,Disagree,Only one benifit through the online learning we can stay home everyday,Not Sure,Disagree,Disagree,Agree,Agree,Agree,Agree,Online Report Submissions,Diasgree,Strongly Disagree,Not Sure,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Onlne learning is not.suitable,3,None of them,I agree to participate in this study
10/21/2021 0:45:21,22,Male,Single,No,Kalutara,University of Jaffna,Technology,Second Year,Online Learning with Real-time Interaction,3,Agree,Strongly Agree,Not Sure,Not Sure,Strongly Agree,Agree,e larning is easy to use . we can manage our persenel works very well. we can get recordings and look more times. ,Strongly Disagree,Agree,Not Sure,Strongly Agree,Agree,Agree,Disagree,"Quizzes, Online Report Submissions",Agree,Strongly Agree,Not Sure,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Diasgree,Diasgree,Diasgree,Not Sure,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"no chalengers , i like e learning",8,"Lectures, Exams, Assigments",I agree to participate in this study
10/21/2021 0:46:48,21,Prefer not to mention,Single,No,Anuradhapura,University of Jaffna,Engineering,First Year,Hybrid Learning [Mix of Online and In Class Learning],3,Not Sure,Agree,Agree,Agree,Agree,Disagree,,Not Sure,Not Sure,Agree,Strongly Agree,Agree,Agree,Disagree,Quizzes,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Not Sure,Agree,Agree,Not Sure,Not Sure,Strongly Agree,Agree,Not Sure,Agree,Agree,Continues usage of electronic devices for a longer period of time has weaken the eye sight and have caused eye strain and headache. Loads of work and less extra curricular activities and the same daily routine doesn't help with the academic stress. ,6,Lectures,I agree to participate in this study
10/21/2021 0:47:27,23,Male,Single,No,Anuradhapura,University of Jaffna,Engineering,Second Year,Offline Learning [E-Learning with Recorded videos],2,Not Sure,Strongly Agree,Agree,Agree,Not Sure,Agree,"In the lecture hall, when lecturer say 1000 words, the students get only 100 words and not enough time to make a note while understanding. In online education he or she can focus on the lecture well.",Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Quizzes,Diasgree,Disagree,Disagree,Disagree,Strongly Agree,Not Sure,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Not Sure,Strongly Disagree,"According to my view, all lecturers who done online lectures should have at least a very good microphone. Sometimes the voice is very poor even in a good connection. Also  every lecturer should use a drawing pad or something to improve what they writing on the laptop. Also they must have good conditions and if they have any connection issues they should externally record the lecture without using zoom recording so they can use their best quality in providing contents.",7,"Lectures, Assigments",I agree to participate in this study
10/21/2021 0:49:35,21,Female,Single,No,Kandy,University of Jaffna,Technology,First Year,Hybrid Learning [Mix of Online and In Class Learning],3,Agree,Agree,Agree,Not Sure,Not Sure,Disagree,,Agree,Agree,Agree,Agree,Not Sure,Agree,Agree,"Quizzes, Online Report Submissions",Diasgree,Disagree,Not Sure,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Diasgree,Agree,Agree,Not Sure,Not Sure,Disagree,,6,"Lectures, Practical Sessions",I agree to participate in this study
10/21/2021 0:51:28,21,Female,Single,No,Monaragala,University of Jaffna,Technology,First Year,Offline Learning [E-Learning with Recorded videos],3,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,,Strongly Agree,Strongly Agree,Not Sure,Strongly Agree,Not Sure,Strongly Agree,Strongly Agree,"Quizzes, Online Presentations, Online Report Submissions",Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,Agree,,8,"Lectures, Assigments",I agree to participate in this study
10/21/2021 0:51:43,24,Male,Single,No,Kurunegala,University of Moratuwa,Engineering,Third Year,Hybrid Learning [Mix of Online and In Class Learning],5,Not Sure,Strongly Agree,Agree,Agree,Strongly Disagree,Not Sure,,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,"Quizzes, Online Report Submissions",Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Not Sure,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,5,Assigments,I agree to participate in this study
10/21/2021 0:52:11,24,Male,Single,No,Nuwara Eliya,University of Jaffna,Engineering,Second Year,Traditional Learning [In Class Learning],5,Agree,Agree,Agree,Not Sure,Agree,Agree,Creat an app or somthing which is can join with low internet condition ,Strongly Disagree,Agree,Agree,Not Sure,Agree,Not Sure,Not Sure,"Quizzes, Online Presentations, Online Report Submissions",Agree,Agree,Not Sure,Agree,Not Sure,Strongly Agree,Not Sure,Disagree,Agree,Agree,Agree,Diasgree,Diasgree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,,5,None of them,I agree to participate in this study
10/21/2021 0:53:17,23,Male,Single,No,Anuradhapura,University of Jaffna,Engineering,Second Year,Online Learning with Real-time Interaction,1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Quizzes,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Not Sure,Strongly Disagree,Strongly Disagree,Not Sure,Diasgree,Not Sure,Strongly Disagree,Diasgree,Agree,Agree,Disagree,Disagree,Strongly Disagree,,9,"Lectures, Assigments",I agree to participate in this study
10/21/2021 1:10:24,20,Male,Single,No,Gampaha,University of Jaffna,Technology,First Year,Online Learning with Real-time Interaction,3,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,In class learning we are consuming much time but in e- learning we can cover things withing a short period actually it's kinda good ,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,"Quizzes, Online Presentations, Online Report Submissions",Diasgree,Not Sure,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Not Sure,Not Sure,Diasgree,Diasgree,Agree,Not Sure,Not Sure,Not Sure,Disagree,,10,"Lectures, Exams, Assigments",I agree to participate in this study
10/21/2021 1:18:03,20,Female,Single,No,Colombo,University of Jaffna,Technology,First Year,Hybrid Learning [Mix of Online and In Class Learning],3,Agree,Strongly Agree,Agree,Agree,Agree,Agree,We can ask questions from lectures,Strongly Disagree,Agree,Disagree,Agree,Not Sure,Agree,Strongly Disagree,Online Report Submissions,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Not Sure,Strongly Disagree,Agree,Diasgree,Not Sure,Not Sure,Not Sure,Strongly Agree,Strongly Agree,Not Sure,Agree,Disagree,No,6,Practical Sessions,I agree to participate in this study
10/21/2021 1:36:06,24,Male,Single,No,Monaragala,University of Jaffna,Technology,Fourth Year,Online Learning with Real-time Interaction,1,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Quizzes, Online Presentations, Online Report Submissions",Agree,Not Sure,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Not Sure,Strongly Disagree,Strongly Disagree,Strongly Disagree,,10,"Lectures, Exams, Assigments",I agree to participate in this study
10/21/2021 1:54:02,23,Male,Single,No,Colombo,University of Moratuwa,Engineering,Second Year,Online Learning with Real-time Interaction,1,Strongly Agree,Strongly Agree,Not Sure,Strongly Disagree,Disagree,Strongly Disagree,,Strongly Agree,Strongly Disagree,Disagree,Not Sure,Not Sure,Agree,Agree,Online Presentations,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Not Sure,Not Sure,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,,2,"Lectures, Exams, Assigments",I agree to participate in this study
10/21/2021 4:09:30,22,Male,Single,No,Kegalle,University of Jaffna,Engineering,First Year,Hybrid Learning [Mix of Online and In Class Learning],5,Disagree,Agree,Not Sure,Disagree,Not Sure,Strongly Disagree,,Not Sure,Not Sure,Agree,Agree,Not Sure,Not Sure,Disagree,Quizzes,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,1,Assigments,I agree to participate in this study
10/21/2021 4:25:05,21,Male,Single,Yes,Jaffna,University of Jaffna,Technology,First Year,Hybrid Learning [Mix of Online and In Class Learning],5,Strongly Disagree,Not Sure,Agree,Agree,Not Sure,Agree,,Not Sure,Agree,Not Sure,Strongly Agree,Disagree,Agree,Agree,Online Report Submissions,Diasgree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Not Sure,Disagree,Strongly Agree,Agree,Agree,Not Sure,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,6,Exams,I agree to participate in this study
10/21/2021 5:09:17,24,Female,Single,No,Badulla,University of Jaffna,Engineering,Second Year,Traditional Learning [In Class Learning],3,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,,Disagree,Disagree,Not Sure,Agree,Agree,Disagree,Disagree,Online Presentations,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Not Sure,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Not Sure,,5,Lectures,I agree to participate in this study
